Time,tri_X,tri_Y,slide_tri_X,slide_tri_Y,Gradient_X,Gradient_Y,slide_grad_X,slide_grad_Y,Nelder_X,Nelder_Y,slide_nelder_X,slide_nelder_Y
2025/8/13 16:29,,,,,,,,,1.125577809,0.053991803,,
2025/8/13 16:29,,,,,,,,,,,1.146487666,0.062893991
2025/8/13 16:29,1.0696,0.521589724,,,,,,,,,,
2025/8/13 16:29,,,1.103601667,0.48298068,,,,,,,,
2025/8/13 16:29,,,,,1.127649915,0.082660351,,,,,,
2025/8/13 16:29,,,,,,,1.151994952,0.089528083,,,,
2025/8/13 16:29,,,,,,,,,1.120786522,0.051193016,,
2025/8/13 16:29,,,,,,,,,,,1.145916529,0.062633969
2025/8/13 16:29,1.0696,0.521589724,,,,,,,,,,
2025/8/13 16:29,,,1.1028625,0.483820007,,,,,,,,
2025/8/13 16:29,,,,,1.127649915,0.082660351,,,,,,
2025/8/13 16:29,,,,,,,1.151465712,0.089378785,,,,
2025/8/13 16:29,,,,,,,,,1.120786522,0.051193016,,
2025/8/13 16:29,,,,,,,,,,,1.145370225,0.062385253
2025/8/13 16:29,1.0696,0.521589724,,,,,,,,,,
2025/8/13 16:29,,,1.102154787,0.484623618,,,,,,,,
2025/8/13 16:29,,,,,1.127114598,0.093730043,,,,,,
2025/8/13 16:29,,,,,,,1.150947604,0.089471365,,,,
2025/8/13 16:29,,,,,,,,,1.120390063,0.063369897,,
2025/8/13 16:29,,,,,,,,,,,1.144838732,0.062406202
2025/8/13 16:29,1.0522,0.555855341,,,,,,,,,,
2025/8/13 16:29,,,1.101114063,0.486107612,,,,,,,,
2025/8/13 16:29,,,,,1.118089347,0.092178273,,,,,,
2025/8/13 16:29,,,,,,,1.150263057,0.089527759,,,,
2025/8/13 16:29,,,,,,,,,1.110476442,0.058747778,,
2025/8/13 16:29,,,,,,,,,,,1.144122851,0.062329985
2025/8/13 16:29,1.0522,0.555855341,,,,,,,,,,
2025/8/13 16:29,,,1.100115816,0.487531035,,,,,,,,
2025/8/13 16:29,,,,,1.117516201,0.103320033,,,,,,
2025/8/13 16:29,,,,,,,1.149594753,0.089809234,,,,
2025/8/13 16:29,,,,,,,,,1.111021472,0.071550206,,
2025/8/13 16:29,,,,,,,,,,,1.143447313,0.062518153
2025/8/13 16:29,1.03475,0.587700976,,,,,,,,,,
2025/8/13 16:29,,,1.0988085,0.489534434,,,,,,,,
2025/8/13 16:29,,,,,1.108483234,0.101788996,,,,,,
2025/8/13 16:29,,,,,,,1.148772523,0.090048829,,,,
2025/8/13 16:29,,,,,,,,,1.1008094,0.06588749,,
2025/8/13 16:29,,,,,,,,,,,1.142594554,0.06258554
2025/8/13 16:29,1.04348125,0.572054963,,,,,,,,,,
2025/8/13 16:29,,,1.097723652,0.491152483,,,,,,,,
2025/8/13 16:29,,,,,1.113001034,0.102564264,,,,,,
2025/8/13 16:29,,,,,,,1.148071121,0.09029423,,,,
2025/8/13 16:29,,,,,,,,,1.105856191,0.068970051,,
2025/8/13 16:29,,,,,,,,,,,1.141874194,0.062710726
2025/8/13 16:29,1.04348125,0.572054963,,,,,,,,,,
2025/8/13 16:29,,,1.096680529,0.4927083,,,,,,,,
2025/8/13 16:29,,,,,1.111020076,0.135902413,,,,,,
2025/8/13 16:29,,,,,,,1.147358601,0.09117131,,,,
2025/8/13 16:29,,,,,,,,,1.104813279,0.106735625,,
2025/8/13 16:29,,,,,,,,,,,1.141161484,0.063557359
2025/8/13 16:29,1.04348125,0.572054963,,,,,,,,,,
2025/8/13 16:29,,,1.095676769,0.494205407,,,,,,,,
2025/8/13 16:29,,,,,1.111020076,0.135902413,,,,,,
2025/8/13 16:29,,,,,,,1.146672969,0.092015293,,,,
2025/8/13 16:29,,,,,,,,,1.104813279,0.106735625,,
2025/8/13 16:29,,,,,,,,,,,1.140475669,0.064372043
2025/8/13 16:29,1.03475,0.587700976,,,,,,,,,,
2025/8/13 16:29,,,1.094548495,0.495936806,,,,,,,,
2025/8/13 16:29,,,,,1.10650645,0.135292421,,,,,,
2025/8/13 16:29,,,,,,,1.145929144,0.092816721,,,,
2025/8/13 16:29,,,,,,,,,1.100642036,0.104554373,,
2025/8/13 16:29,,,,,,,,,,,1.139738009,0.06511616
2025/8/13 16:29,1.03475,0.587700976,,,,,,,,,,
2025/8/13 16:29,,,1.09346125,0.497605246,,,,,,,,
2025/8/13 16:29,,,,,1.104124318,0.168367601,,,,,,
2025/8/13 16:29,,,,,,,1.145169056,0.094190374,,,,
